,train_loss,train_rmse,train_mape,valid_loss,valid_rmse,valid_mape
421,12.747267,21.296004,0.088693,14.318597,23.594599,0.103783
422,12.755302,21.27415,0.090618,14.235931,23.541798,0.105807
423,12.777983,21.327598,0.088123,14.263535,23.625995,0.10084
424,12.811963,21.366151,0.087223,14.268277,23.646991,0.102917
425,12.741737,21.265733,0.09083,14.299683,23.678598,0.111361
426,12.756248,21.2974,0.087821,14.275394,23.654424,0.102349
427,12.758238,21.278934,0.090687,14.348305,23.701659,0.107328
428,12.723277,21.261556,0.089946,14.225407,23.549882,0.101711
429,12.758203,21.296978,0.088615,14.284107,23.614537,0.101505
430,12.718407,21.243111,0.089357,14.273546,23.580252,0.107114
431,12.704635,21.225894,0.089643,14.275336,23.648325,0.10221
432,12.752626,21.287405,0.089372,14.257603,23.580001,0.11075
433,12.724947,21.245157,0.089426,14.348242,23.725707,0.101641
434,12.727123,21.249467,0.089528,14.264032,23.636158,0.102616
435,12.743937,21.26609,0.088827,14.382645,23.78738,0.10278
436,12.746215,21.270907,0.088513,14.265705,23.650895,0.103101
437,12.744931,21.269359,0.087836,14.431363,23.797068,0.107709
438,12.740461,21.268041,0.089206,14.222615,23.595494,0.101754
439,12.716209,21.248796,0.087518,14.251167,23.595566,0.103252
440,12.791216,21.315838,0.089569,14.266834,23.64741,0.102433
441,12.710141,21.235942,0.089479,14.270348,23.6286,0.102957
442,12.740805,21.26754,0.088412,14.249418,23.597952,0.106812
443,12.659321,21.164504,0.090693,14.280599,23.645026,0.104888
444,12.696201,21.211418,0.088471,14.386942,23.787469,0.104776
445,12.73428,21.259439,0.087396,14.312487,23.706501,0.102121
446,12.784378,21.309992,0.089276,14.347187,23.700936,0.105793
447,12.688418,21.200041,0.090212,14.318319,23.708909,0.102537
448,12.683933,21.182909,0.088584,14.247615,23.591612,0.105272
449,12.724899,21.244014,0.08847,14.233928,23.580862,0.101537
450,12.743238,21.274628,0.087988,14.284049,23.621094,0.102953
451,12.706531,21.21697,0.089285,14.276247,23.634594,0.105536
452,12.724835,21.242066,0.088682,14.348981,23.606348,0.102335
453,12.7328,21.259153,0.087922,14.300273,23.670535,0.108791
454,12.666781,21.184451,0.087225,14.232148,23.63617,0.102737
455,12.724432,21.24739,0.087669,14.311822,23.643102,0.112778
456,12.670058,21.18261,0.088818,14.359292,23.764101,0.105841
457,12.71046,21.214787,0.088226,14.273361,23.675255,0.103223
458,12.653319,21.140832,0.089282,14.251261,23.657762,0.101593
459,12.697861,21.21132,0.087264,14.282633,23.646099,0.103378
460,12.675943,21.173015,0.089457,14.232607,23.589561,0.103078
461,12.687424,21.195932,0.087946,14.373621,23.814693,0.102392
462,12.649061,21.134001,0.089824,14.222464,23.583923,0.104513
463,12.6434,21.133094,0.08866,14.35339,23.723379,0.108855
464,12.671137,21.173901,0.088743,14.292505,23.651686,0.108171
465,12.640033,21.124065,0.088252,14.26573,23.658889,0.102723
466,12.682991,21.201265,0.086364,14.271188,23.662186,0.101685
467,12.689799,21.186746,0.088166,14.219907,23.546948,0.101028
468,12.668381,21.171329,0.087255,14.297469,23.675954,0.103354
469,12.675104,21.175767,0.087069,14.261994,23.578481,0.100888
470,12.695425,21.190724,0.087484,14.283954,23.65236,0.10271
471,12.699639,21.195476,0.088322,14.252177,23.613822,0.101849
472,12.651013,21.136279,0.08832,14.313082,23.702142,0.106035
473,12.607753,21.069513,0.090866,14.378203,23.738808,0.108802
474,12.63943,21.117353,0.088682,14.366924,23.711788,0.103827
475,12.679417,21.17055,0.088125,14.269583,23.664863,0.105545
476,12.674716,21.17089,0.087778,14.302355,23.734901,0.102038
477,12.610453,21.070807,0.089708,14.406184,23.800907,0.105418
478,12.623008,21.095071,0.088397,14.406207,23.815586,0.10364
479,12.659322,21.139081,0.08769,14.275094,23.618142,0.10198
480,12.66241,21.147939,0.086958,14.3081,23.676428,0.107195
481,12.661524,21.152298,0.087167,14.286534,23.69191,0.102457
482,12.683332,21.164393,0.089141,14.2693,23.680732,0.103414
483,12.647427,21.125786,0.088424,14.26555,23.653829,0.102475
484,12.654016,21.135219,0.088646,14.34143,23.753914,0.10845
485,12.63284,21.10303,0.087922,14.272925,23.651874,0.102747
486,12.683374,21.171912,0.086969,14.324835,23.708711,0.106888
487,12.658084,21.138992,0.087519,14.285066,23.701948,0.105929
488,12.636861,21.118095,0.088417,14.316091,23.614276,0.101212
489,12.636097,21.107495,0.088228,14.270625,23.606644,0.10202
490,12.66049,21.163808,0.086782,14.284655,23.682409,0.101762
491,12.629807,21.105359,0.08734,14.245981,23.625796,0.101789
492,12.668988,21.132058,0.089365,14.261651,23.623892,0.103858
493,12.603439,21.072759,0.087412,14.266766,23.673709,0.103412
494,12.601072,21.071767,0.08758,14.20786,23.578455,0.102074
495,12.606279,21.061114,0.088732,14.262522,23.644969,0.109188
496,12.596474,21.058162,0.087948,14.250991,23.598317,0.101286
497,12.626649,21.088677,0.088279,14.267111,23.633388,0.103625
498,12.563076,21.013814,0.088405,14.288458,23.728911,0.103223
499,12.638465,21.113238,0.087637,14.335573,23.750462,0.10267
